0849934C,10,23,5,1,,,,
00000000,2849922C,0849B008,084A7374,0849E0D4,084A7B48,084AA248,00000000,00000000
18498EE0,8849934C,80000000,8849AEC4,8849AD98,8849B194,4849D758,00000000,00000000
0849AD98,00000000,0849AF60,38499418,0849AE4C,00000000,00000000,00000000,00000000
084995EC,0849B3CC,08499490,0849F7EC,00000000,00000000,00000000,00000000,00000000
084A339C,00000000,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
08499500,0849F454,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084A10E0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
