08499490,13,26,1,1,,,,
00000000,08499F98,0849B008,084A7374,0849E0D4,084A7B48,084AA248,00000000,00000000
18499418,88499490,08499418,0849AEC4,0849AD98,0849B194,00000000,00000000,00000000
0849AD98,00000000,0849AF60,08499EFC,0849AE4C,00000000,00000000,00000000,00000000
0849B194,0849B3CC,0849E484,0849F7EC,00000000,00000000,00000000,00000000,00000000
084A339C,00000000,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,0849F454,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
