0849ACA8,11,15,3,2,,,,
00000000,0849B080,0849B008,084A7374,0849E0D4,084A7B48,084AA248,00000000,00000000
1849AD14,8849ACA8,8849ACA8,8849AEC4,0849B5E4,0849B194,00000000,00000000,00000000
0849AD98,8849AF60,8849AF60,8849B224,2849AE4C,0849B2B8,00000000,00000000,00000000
0849B194,0849B3CC,0849E484,0849F7EC,00000000,00000000,00000000,00000000,00000000
084A339C,00000000,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,0849F454,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
