0849B558,11,20,4,1,,,,
00000000,0849C404,0849D5A4,0849E310,0849D040,0849D1E4,0849E310,00000000,084AD21C
2849B660,8849B558,80000000,8849E0D4,884A029C,1849B450,0849D508,00000000,084A0B48
0849C85C,00000000,0849C6D0,0849C488,0849D634,00000000,0849D7F4,00000000,00000000
0849C404,00000000,0849D400,00000000,00000000,00000000,00000000,00000000,00000000
084A4D08,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
