0849C404,22,16,2,2,,,,
00000000,0849C404,0849D5A4,0849E310,0849D040,0849D1E4,0849E310,00000000,084AD21C
1849C270,8849C404,80000000,0849E0D4,084A029C,0849CEFC,0849D508,00000000,084A0B48
4849C85C,8849D28C,8849C6D0,2849C488,0849D634,0849C524,0849D7F4,00000000,00000000
0849C404,3849C5A8,0849D400,00000000,00000000,00000000,00000000,00000000,00000000
084A4D08,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
