0849C5A8,22,18,2,1,,,,
00000000,1849C404,0849D5A4,0849E310,0849D040,0849D1E4,0849E310,00000000,084AD21C
0849CFBC,8849C5A8,80000000,2849E0D4,00000000,0849CEFC,0849D508,00000000,084A0B48
0849C754,0849D28C,0849C6D0,0849D388,0849D634,0849CEFC,0849D7F4,00000000,00000000
084A534C,00000000,0849D400,00000000,00000000,00000000,00000000,00000000,00000000
084A4D08,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
