0849C6D0,15,19,2,2,,,,
00000000,0849F024,0849E638,084A7374,0849E0D4,084A7B48,084AA248,00000000,00000000
1849C638,8849C6D0,8849C404,00000000,0849C638,0849C6D0,00000000,00000000,00000000
2849C7D8,80000000,8849E044,0849E40C,0849E6BC,00000000,00000000,00000000,00000000
084A3C38,00000000,0849E484,0849F7EC,00000000,00000000,00000000,00000000,00000000
084A339C,00000000,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,0849F454,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
