0849D1E4,27,21,3,1,,,,
00000000,0849D1E4,0849D5A4,0849E310,0849D484,0849D1E4,0849E310,00000000,084AD21C
0849CEFC,8849D1E4,80000000,884AD47C,00000000,084A1E10,0849D508,00000000,084A0B48
084A0CF4,1849D28C,0849D28C,2849D2F8,0849D634,00000000,0849D7F4,00000000,00000000
084A534C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A4D08,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
