0849D758,15,23,1,1,,,,
00000000,0849D28C,0849F454,0849D28C,0849E508,0849E264,0849D28C,00000000,00000000
1849934C,8849D758,2849D6C8,084AED44,00000000,00000000,00000000,00000000,00000000
0849B2B8,00000000,0849E310,0849E858,084A4880,084A6998,0849E858,00000000,00000000
0849F588,00000000,0849F704,0849F28C,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,084A0AC4,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AD47C,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
