0849D7F4,23,23,6,1,,,,
00000000,2849D28C,0849F454,3849D28C,0849E508,0849E264,4849D28C,00000000,00000000
1849D508,8849D7F4,80000000,884AED44,80000000,80000000,80000000,00000000,00000000
0849B2B8,00000000,0849E310,0849E858,084A4880,084A6998,0849E858,00000000,00000000
0849F588,00000000,0849F704,0849F28C,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,084A0AC4,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AD47C,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
