0849E738,16,23,2,1,,,,
00000000,0849E310,084A11F4,0849E310,084A2E08,084A0AC4,0849E310,00000000,084AD21C
2849E7BC,8849E738,9849E6BC,084A0AC4,00000000,084A1E10,00000000,00000000,084A0B48
084A0CF4,00000000,084A3848,084A0C70,084A5D04,00000000,00000000,00000000,00000000
084A534C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A4D08,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
