0849F138,28,7,1,1,,,,
00000000,0849FD74,0849F454,084A2FA4,084A4700,084A6BCC,084ACEF0,00000000,00000000
1849F0A8,8849F138,2849F1D8,0849F61C,00000000,00000000,00000000,00000000,00000000
0849B2B8,00000000,0849F504,084A84B8,084A4880,084A6998,00000000,00000000,00000000
0849F588,084A0BEC,084A0420,0849FF9C,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,084A0AC4,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AD47C,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
