0849F1D8,29,7,2,1,,,,
00000000,0849F024,08499418,084A7374,084A3120,084A7B48,084AA248,00000000,00000000
0849F87C,8849F1D8,80000000,2849F87C,084A342C,084A0CF4,00000000,084A3C38,00000000
084A10E0,084A148C,084A0E8C,084A7260,084A2FA4,00000000,00000000,00000000,00000000
084A3C38,00000000,00000000,0849F7EC,00000000,00000000,00000000,00000000,00000000
084A339C,084A306C,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,0849F454,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
