0849F3C4,31,9,2,4,,,,
00000000,1849F328,08499418,084A7374,084A3120,084A7B48,084AA248,00000000,00000000
0849F504,8849F3C4,80000000,00000000,084A342C,084A0CF4,00000000,084A3C38,00000000
084A10E0,884A148C,884A0E8C,0849F504,084A2FA4,00000000,00000000,00000000,00000000
084A3C38,80000000,80000000,3849F7EC,00000000,00000000,00000000,00000000,00000000
084A339C,884A306C,884AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,2849F454,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
