0849F61C,34,14,2,1,,,,
00000000,084A0038,08499418,084A7374,084A3120,084A7B48,084AA248,00000000,00000000
1849F504,8849F61C,A849F688,00000000,084A342C,084A0CF4,00000000,084A3C38,00000000
084A10E0,084A148C,084A0E8C,084A0218,084A2FA4,00000000,00000000,00000000,00000000
084A3C38,00000000,00000000,084A0508,00000000,00000000,00000000,00000000,00000000
084A339C,084A306C,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084A0168,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
