0849F7EC,33,11,1,1,,,,
00000000,0849FD74,084A0168,084A2FA4,084A4700,084A6BCC,084ACEF0,00000000,00000000
1849F3C4,8849F7EC,0849F28C,084A0590,00000000,00000000,00000000,00000000,00000000
0849C524,00000000,0849FE70,084A84B8,084A4880,084A6998,00000000,00000000,00000000
084A029C,084A0BEC,084A0420,0849FF9C,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,084A0AC4,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AED44,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
