084A0BEC,23,35,7,1,,,,
00000000,084A1050,084A11F4,084A4880,084A2E08,184A0AC4,00000000,00000000,084AD21C
084A0D74,884A0BEC,80000000,884A0AC4,80000000,884A1E10,884A6160,80000000,284A0B48
084A0CF4,00000000,084A3848,084A0C70,084A5D04,00000000,00000000,00000000,00000000
084A534C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A4D08,084A1BB0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
