084A0F0C,12,33,2,1,,,,
00000000,084A1404,08499418,084A7374,084A3120,084A7B48,084AA248,00000000,00000000
084A1170,884A0F0C,884A0F0C,184A0E8C,084A342C,084A2D54,00000000,084A3C38,00000000
084A10E0,084A148C,084A0E8C,084A1170,084A2FA4,00000000,00000000,00000000,00000000
084A3C38,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A339C,084A306C,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
