084A1CD8,23,35,7,1,,,,
00000000,084A368C,084A233C,084A4880,084A2E08,184A1BB0,00000000,00000000,084AD21C
084A1E94,884A1CD8,80000000,884A1BB0,80000000,884A1E10,884A6160,80000000,284A1C34
084A1E10,084A368C,084A3848,084A1D80,084A5D04,00000000,00000000,00000000,00000000
084A534C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A4D08,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
