084A2CB8,32,30,4,1,,,,
00000000,084A7260,084A2E80,084A7374,084A3120,084A7B48,084AA248,00000000,00000000
284AD054,884A2CB8,80000000,884A2E08,884A342C,184A2D54,00000000,084A3C38,00000000
084A2CB8,084A34BC,084A2F04,084A3AF4,084A2FA4,00000000,00000000,00000000,00000000
084A3C38,084A2E08,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A339C,084A306C,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A72F0,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
