084A2FA4,38,30,4,1,,,,
00000000,084A368C,084A5F38,084A4880,184A2E08,084A60D0,00000000,00000000,084AD21C
084A3A28,884A2FA4,80000000,884A4AD4,884A514C,00000000,084A6160,084A4D08,00000000
084A3848,284A368C,084A3848,084A5254,084A5D04,00000000,00000000,00000000,00000000
084A534C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A4D08,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
