084A5254,47,28,3,2,,,,
00000000,084A5D88,084A5F38,084A5FC8,084A8A68,084A60D0,00000000,00000000,084AD21C
184A49FC,884A5254,80000000,80000000,00000000,00000000,084A6160,00000000,00000000
084A2F04,884A5F38,884A9650,884A5F38,084A5D04,00000000,084A9A50,00000000,00000000
084A5D88,084A5FC8,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
