084A5D04,41,27,1,2,,,,
00000000,284A5D88,084A5F38,084A5FC8,084A8A68,084A60D0,00000000,00000000,084AD21C
084A5E0C,884A5D04,084A5E90,084A6204,00000000,084A5E0C,084A6160,00000000,00000000
184A2F04,884A5F38,084A9650,084A5F38,084A5D04,084A5E90,084A9A50,00000000,00000000
084A5D88,084A5FC8,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
