084A5FC8,40,22,3,1,,,,
00000000,184A604C,084AD2A0,084A85D8,084A8A68,084A8D70,00000000,00000000,084AD21C
084A62F8,884A5FC8,884A7BCC,884A6204,00000000,00000000,00000000,00000000,00000000
0849FF9C,084A5F38,084A9650,284A5F38,084A85D8,084A8E0C,084A9A50,00000000,00000000
084AD180,084A5FC8,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
