084A689C,38,26,4,1,,,,
00000000,084A6B48,084A6A34,084A6AB8,084A8AEC,084A6BCC,084ACEF0,00000000,00000000
084A6920,884A689C,884A6998,884A6CEC,884A89A8,284A6920,084A6C5C,00000000,00000000
084A890C,084A6A34,084A97E8,084A6A34,184A6818,084A6998,084AB42C,084ACE60,00000000
084A689C,084A6AB8,084A9884,00000000,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,00000000,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
