084A76EC,36,17,3,1,,,,
00000000,084A7AD0,084A7518,084ACA04,084A78D0,084A7B48,084AA248,00000000,00000000
284A7C48,884A76EC,80000000,884A7848,184A7788,084A7954,00000000,00000000,00000000
084A76EC,084A7B48,00000000,084ABC04,084AD354,084A7CC4,00000000,00000000,00000000
084A6288,00000000,00000000,00000000,084A7AD0,00000000,00000000,00000000,00000000
084A991C,00000000,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
