084A7B48,41,19,5,1,,,,
00000000,184A7AD0,084AEC14,084ACA04,00000000,084A7B48,084AA248,00000000,00000000
084A604C,884A7B48,80000000,80000000,80000000,80000000,00000000,00000000,00000000
084A9C3C,00000000,00000000,084ABC04,084AD354,284A7BCC,00000000,00000000,00000000
084A6288,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084A991C,00000000,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
