084A7CC4,45,17,1,1,,,,
00000000,084AB390,084A8758,084A97E8,084A8AEC,084AB390,084ACEF0,00000000,00000000
184A7848,884A7CC4,284A7A44,00000000,084A89A8,084A8B6C,00000000,00000000,00000000
084A890C,00000000,084A97E8,084A9884,084ACB10,084A8EF4,084AB42C,084ACE60,00000000
084A79D8,00000000,084A9884,00000000,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,00000000,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
