084A89A8,39,16,2,3,,,,
00000000,084AB390,084A8758,084A97E8,084A8AEC,084AB390,084ACEF0,00000000,00000000
284A8880,884A89A8,80000000,184A8A68,084A991C,084A8B6C,00000000,00000000,00000000
384A890C,884A97E8,884A97E8,084A9884,084ACB10,084A8EF4,084AB42C,084ACE60,00000000
084A79D8,80000000,884A9884,00000000,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,084A8A68,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
