084A8B6C,45,16,2,1,,,,
00000000,084A8CE0,084AD2A0,084AD47C,084A8A68,084A8D70,00000000,00000000,084AD21C
184A8A68,884A8B6C,A84A8BF0,084A9D74,00000000,00000000,00000000,00000000,00000000
084A9E10,084A8D70,084AB040,084AA248,084AE884,084A8E0C,084A9A50,00000000,00000000
084AD180,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
