084A8E78,35,17,1,1,,,,
00000000,084ACE60,084AD2A0,084AD47C,00000000,084AE600,00000000,00000000,084AD21C
084A9884,884A8E78,184A890C,084A9D74,00000000,00000000,00000000,00000000,00000000
084A9E10,00000000,00000000,084AA248,084AE884,084AD054,084A9A50,00000000,00000000
084AD180,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
