084A8EF4,45,17,1,1,,,,
00000000,084AB390,084A974C,084A97E8,00000000,084AB390,084ACEF0,00000000,00000000
184A8A68,884A8EF4,284A8C5C,084AB6D8,084A991C,084ACC98,00000000,00000000,00000000
084A9650,084A97E8,084A97E8,084A9884,084ACB10,00000000,084AB42C,084ACE60,00000000
084A79D8,00000000,084A9884,00000000,00000000,00000000,00000000,00000000,00000000
084AB2F0,00000000,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
