084A9EA4,56,18,3,1,,,,
00000000,084ACE60,084AD2A0,084AD47C,00000000,084AE600,00000000,00000000,084AD21C
184A9E10,884A9EA4,80000000,80000000,00000000,00000000,00000000,00000000,00000000
084A9E10,084AD504,00000000,284AA248,084AE884,084AD054,00000000,00000000,00000000
084AD180,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
