084AA128,57,12,1,3,,,,
00000000,084A9EA4,084AEC14,084ACA04,00000000,00000000,084AA248,00000000,00000000
384AA53C,884AA128,00000000,084AA128,00000000,084AE54C,00000000,00000000,00000000
284AA1AC,884AB1E0,084AB1E0,084ABC04,084AD354,00000000,00000000,00000000,00000000
184AA098,80000000,084AA4B4,00000000,00000000,00000000,00000000,00000000,00000000
084AA35C,00000000,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
