084AA2E4,53,25,7,4,,,,
00000000,084AB8A4,084AEC14,084ACA04,00000000,00000000,184AA248,00000000,00000000
084AB804,884AA2E4,884AA2E4,884ABAD8,80000000,884AE54C,80000000,80000000,00000000
084AB040,884AB1E0,884AB1E0,884ABC04,884AD354,80000000,80000000,80000000,00000000
084A8BF0,80000000,884AB270,80000000,80000000,80000000,80000000,80000000,00000000
284AA35C,80000000,884AB390,80000000,80000000,80000000,80000000,80000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084ABD70,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
