084AA43C,55,15,1,1,,,,
00000000,084AB390,084AB130,084AB1E0,00000000,084AB390,084ACEF0,00000000,00000000
184A9D74,884AA43C,00000000,084AB6D8,084AB2F0,084ACC98,00000000,00000000,00000000
084AB63C,00000000,084ABDE0,084AB270,084ACB10,00000000,084AB42C,084ACE60,00000000
084A6D88,00000000,084AB804,00000000,00000000,00000000,00000000,00000000,00000000
084AB2F0,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
