084AB0C4,49,14,1,2,,,,
00000000,084AB8A4,084AEC14,084ACA04,00000000,00000000,084ABC04,00000000,00000000
084AB804,884AB0C4,00000000,084ABAD8,00000000,084AE54C,00000000,00000000,00000000
184AB040,884AB1E0,00000000,084ABC04,084AD354,00000000,00000000,00000000,00000000
084ABA54,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084ABD00,00000000,084AEF58,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084ABD70,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ABC94,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
