084AB1E0,49,16,5,1,,,,
00000000,084AB390,284AB130,084AB1E0,00000000,084AB390,084ACEF0,00000000,00000000
184AB040,884AB1E0,80000000,884AB6D8,884AB2F0,884ACC98,00000000,00000000,00000000
084AB63C,084AB594,084ABDE0,384AB270,084ACB10,00000000,084AB42C,084ACE60,00000000
084A6D88,00000000,084AB804,00000000,00000000,00000000,00000000,00000000,00000000
084AB2F0,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
