084AB2F0,52,17,2,1,,,,
00000000,084ACE60,084AD2A0,084AD47C,00000000,084AE600,00000000,00000000,084AD21C
184AB270,884AB2F0,A84AB774,00000000,00000000,00000000,00000000,00000000,00000000
084AD0F0,084AD504,084A2CB8,084AF0F4,084AE884,084AD054,00000000,00000000,00000000
084AD180,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,084AD618,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
