084AB510,49,20,1,1,,,,
00000000,084AB390,00000000,084A0218,00000000,084ACD40,084ACEF0,00000000,00000000
184AB4A4,884AB510,084ABA54,084AB6D8,084AFD8C,084ACC98,00000000,00000000,00000000
084AB63C,00000000,084ABDE0,084AD790,084ACB10,00000000,00000000,084ACE60,00000000
084A6D88,00000000,084AB804,00000000,00000000,00000000,00000000,00000000,00000000
084AB2F0,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
