084AB6D8,50,20,1,3,,,,
00000000,284AB42C,00000000,084A0218,00000000,084ACD40,084ACEF0,00000000,00000000
084AB774,884AB6D8,084ABA54,084ACA04,084AFD8C,084ACC98,00000000,00000000,00000000
384AB63C,80000000,084ABDE0,084AD790,084ACB10,00000000,00000000,084ACE60,00000000
184A6D88,80000000,084AB804,00000000,00000000,00000000,00000000,00000000,00000000
084AB2F0,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
