084ABAD8,57,12,1,3,,,,
00000000,084AB8A4,084AEC14,084ACA04,00000000,00000000,084ABC04,00000000,00000000
384ABED4,884ABAD8,00000000,084ABAD8,00000000,084AE54C,00000000,00000000,00000000
284ABB74,80000000,00000000,00000000,084AD354,00000000,00000000,00000000,00000000
184ABA54,80000000,084ABE58,00000000,00000000,00000000,00000000,00000000,00000000
084ABD00,00000000,084AEF58,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084ABD70,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ABC94,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
