084ABED4,56,12,1,1,,,,
00000000,084AE124,084AEC14,084ACA04,00000000,00000000,00000000,00000000,00000000
084ACA80,884ABED4,184ABAD8,084AE2B0,00000000,084AE54C,00000000,00000000,00000000
00000000,00000000,00000000,00000000,084AD354,00000000,00000000,00000000,00000000
00000000,00000000,084AE214,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,084AEF58,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
