084AC878,15,26,2,2,,,,
00000000,084AC878,00000000,084A0218,00000000,084ACD40,084ACEF0,00000000,00000000
084AC8E4,884AC878,884AC968,284ACA04,084AFD8C,084ACC98,00000000,00000000,00000000
00000000,884ACDC4,80000000,084AD790,084ACB10,00000000,00000000,084ACE60,00000000
084ACC14,084ACD40,184AC968,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
