084AC8E4,15,28,1,1,,,,
00000000,084AC878,00000000,084A0218,00000000,084ACD40,084ACEF0,00000000,00000000
084AC8E4,884AC8E4,184AC968,084ACC98,084AFD8C,084ACC98,00000000,00000000,00000000
00000000,084ACDC4,00000000,084AD790,084ACB10,00000000,00000000,084ACE60,00000000
084ACC14,084ACD40,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
