084ACD40,22,26,7,1,,,,
00000000,084ACD40,00000000,084A0218,00000000,084ACD40,484ACEF0,00000000,00000000
184ACC98,884ACD40,80000000,884AE54C,884AFD8C,80000000,80000000,80000000,00000000
00000000,284ACDC4,00000000,084AD790,084ACFA0,00000000,00000000,384ACE60,00000000
084AE4C8,084ACD40,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
