084ACDC4,22,27,2,2,,,,
00000000,184ACD40,00000000,084A0218,00000000,084ACD40,084AE7DC,00000000,00000000
084AC968,884ACDC4,80000000,084AE54C,084AFD8C,00000000,00000000,00000000,00000000
00000000,80000000,80000000,284AD790,084ACFA0,00000000,00000000,00000000,00000000
084AE4C8,084ACD40,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
