084ACE60,24,27,5,1,,,,
00000000,00000000,00000000,084A0218,00000000,184ACD40,084AE7DC,00000000,00000000
084AC968,884ACE60,80000000,884AE54C,884AFD8C,80000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,284ACFA0,00000000,00000000,00000000,00000000
084AE4C8,084ACD40,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
