084ACEF0,27,24,2,2,,,,
00000000,00000000,00000000,084A0218,00000000,00000000,084AE7DC,00000000,00000000
084AC968,884ACEF0,80000000,084AE54C,084AFD8C,00000000,00000000,00000000,00000000
00000000,80000000,80000000,00000000,084AEC14,00000000,00000000,00000000,00000000
084AE4C8,184ACD40,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
