084AD054,31,29,1,3,,,,
00000000,284ACFA0,084AD2A0,084AD47C,00000000,084AE600,00000000,00000000,084AEAF4
084A0A1C,884AD054,00000000,084AD054,084AD054,00000000,00000000,00000000,00000000
384AD0F0,884AD504,184A2CB8,084AF0F4,084AE884,084AE920,00000000,00000000,00000000
484AD180,80000000,084AD21C,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,084AD618,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
