084AD0F0,28,30,3,1,,,,
00000000,084AE600,084AD2A0,084AD47C,00000000,084AE600,00000000,00000000,084AEAF4
184A0A1C,884AD0F0,80000000,884AD054,284AD054,00000000,00000000,00000000,00000000
084AD354,084AD504,084A45B0,084AF0F4,084AE884,084AE920,00000000,00000000,00000000
084AEA4C,00000000,084AD21C,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,084AD618,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
