084AD21C,34,22,2,6,,,,
00000000,084AE600,284AD2A0,084AD47C,00000000,084AE600,00000000,00000000,084AEAF4
384AD3D0,884AD21C,80000000,00000000,084AD2A0,00000000,00000000,00000000,00000000
084AD354,884AD504,884A45B0,084AF0F4,084AE884,084AE920,00000000,00000000,00000000
084AEA4C,80000000,884AD21C,00000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,884AD618,00000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,80000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,80000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,184ACFA0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
