084AD2A0,34,20,2,2,,,,
00000000,084AE600,084AD354,084AD47C,00000000,084AE600,00000000,00000000,084AEAF4
084AD800,884AD2A0,80000000,00000000,084AD2A0,00000000,00000000,00000000,00000000
284AD354,884AD504,884A45B0,084AF0F4,084AE884,084AE920,00000000,00000000,00000000
084AEA4C,00000000,184AD21C,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,084AD618,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AE884,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
