084AE214,16,28,1,1,,,,
00000000,184AE124,084AEC14,00000000,00000000,00000000,00000000,00000000,00000000
284AE190,884AE214,384AF07C,00000000,00000000,084AE54C,00000000,00000000,00000000
00000000,00000000,00000000,00000000,084AE3C8,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,084AEF58,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
