084AE2B0,17,26,4,1,,,,
00000000,00000000,084AEC14,00000000,00000000,00000000,00000000,00000000,00000000
184AE124,884AE2B0,80000000,80000000,80000000,384AE54C,00000000,00000000,00000000
00000000,00000000,00000000,00000000,284AE3C8,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,084AEF58,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
