084AE3C8,18,27,3,1,,,,
00000000,084AE600,084AEB6C,184AE2B0,00000000,084AE600,00000000,00000000,084AEAF4
284AE32C,884AE3C8,80000000,884AE920,084AE920,00000000,00000000,00000000,00000000
084AE9BC,084AEDCC,084A45B0,084AF0F4,084AE884,084AE920,00000000,00000000,00000000
084AEA4C,084AE600,084AEAF4,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AE884,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
