084AE7DC,27,24,2,2,,,,
00000000,084AE758,084AEB6C,084AED44,00000000,00000000,00000000,00000000,084AEAF4
084A1B1C,884AE7DC,80000000,084AE920,084AE920,00000000,00000000,00000000,00000000
084AE9BC,884AEDCC,884A45B0,00000000,00000000,084AE920,00000000,00000000,00000000
084AEA4C,184AE600,084AEAF4,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AE884,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
