084AEA4C,29,31,2,1,,,,
00000000,00000000,084AEB6C,084AED44,00000000,00000000,00000000,00000000,00000000
084AEC90,884AEA4C,80000000,184AE920,084AEB6C,00000000,00000000,00000000,00000000
084AEC14,084AEDCC,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,084AEAF4,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AE884,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
