084AEAF4,34,22,2,6,,,,
00000000,00000000,284AEB6C,084AED44,00000000,00000000,00000000,00000000,00000000
384AEC90,884AEAF4,80000000,00000000,084AEB6C,00000000,00000000,00000000,00000000
084AEC14,884AEDCC,80000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,884AEAF4,00000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,80000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,80000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,80000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,184AE884,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
